,hoopR_ID,athlete,nba_api_ID
582,3913220,DaQuan Jeffries,1629610
583,3913546,Melvin Frazier Jr.,1628982
584,3914044,Landry Shamet,1629013
585,3914075,Xavier Moon,1629875
586,3914283,Chimezie Metu,1629002
587,3914285,Drew Eubanks,1629234
588,3915195,Shake Milton,1629003
589,3915560,Tyler Dorsey,1628416
590,3917376,Jaylen Brown,1627759
591,3917378,Ivan Rabb,1628397
592,3918423,Admiral Schofield,1629678
593,3918424,Kyle Alexander,1629734
594,3919335,Cheick Diallo,1627767
595,3919347,Chima Moneke,1631320
596,3919454,Terence Davis,1629056
597,3922230,Aaron Holiday,1628988
598,3923250,PJ Dozier,1628408
599,3923253,Chris Silva,1629735
600,3926491,Isaac Humphries,1629353
601,3929314,Nicolas Brussino,1627852
602,3929321,Gabriel Deck,1630466
603,3929325,Furkan Korkmaz,1627788
604,3934621,Jacob Evans,1628980
605,3934662,Tyler Lydon,1628399
606,3934663,Malachi Richardson,1627781
607,3934670,Marcus Derrickson,1629094
608,3934672,Jalen Brunson,1628973
609,3934673,Donte DiVincenzo,1628978
610,3934719,OG Anunoby,1628384
611,3934721,Juwan Morgan,1629752
612,3934723,Thomas Bryant,1628418
613,3936099,Derrick Jones Jr.,1627884
614,3936296,Skal Labissiere,1627746
615,3936298,Mychal Mulder,1628539
616,3936299,Jamal Murray,1627750
617,3937101,Deyonta Davis,1627738
618,3943606,Jerome Robinson,1629010
619,3946974,Devontae Cacok,1629719
620,3947156,Mamadi Diakite,1629603
621,3948153,Chris Boucher,1628449
622,3952343,Jaylen Morris,1628537
623,4011991,Dragan Bender,1627733
624,4017837,Ivica Zubac,1627826
625,4017838,Ante Zizic,1627790
626,4017839,Juancho Hernangomez,1627823
627,4017843,Thon Maker,1627748
628,4017844,Guerschon Yabusele,1627824
629,4017846,Georgios Papagiannis,1627834
630,4064727,Josh Magette,203705
631,4064730,Tim Quarterman,1627817
632,4065635,Ky Bowman,1629065
633,4065648,Jayson Tatum,1628369
634,4065649,Harry Giles III,1628385
635,4065651,Frank Jackson,1628402
636,4065652,Marques Bolden,1629716
637,4065653,Jack White,1631298
638,4065654,Jonathan Isaac,1628371
639,4065656,Trent Forrest,1630235
640,4065660,Mfiondu Kabengele,1629662
641,4065663,Josh Okogie,1629006
642,4065670,Bruce Brown,1628971
643,4065672,Dewan Hernandez,1629608
644,4065673,Tony Bradley,1628396
645,4065697,Dennis Smith Jr.,1628372
646,4065730,Kyle Guy,1629657
647,4065731,Jay Huff,1630643
648,4065732,De'Andre Hunter,1629631
649,4065733,Ty Jerome,1629660
650,4065778,Max Strus,1629622
651,4065804,Sam Hauser,1630573
652,4065805,Markus Howard,1630210
653,4065816,Myles Powell,1629619
654,4065836,Omari Spellman,1629016
655,4066211,Robert Williams III,1629057
656,4066212,Jordan Bone,1629648
657,4066218,Grant Williams,1629684
658,4066240,Braxton Key,1630296
659,4066248,Jared Harper,1629607
660,4066259,De'Aaron Fox,1628368
661,4066261,Bam Adebayo,1628389
662,4066262,Malik Monk,1628370
663,4066264,Wenyen Gabriel,1629117
664,4066268,Duop Reath,1641871
665,4066269,Skylar Mays,1630219
666,4066297,Josh Jackson,1628367
667,4066299,Udoka Azubuike,1628962
668,4066303,Xavier Sneed,1630270
669,4066317,Lindy Waters III,1630322
670,4066320,Desmond Bane,1630217
671,4066328,Jarrett Allen,1628386
672,4066334,Rawle Alkins,1628959
673,4066335,Kobi Simmons,1628424
674,4066336,Lauri Markkanen,1628374
675,4066354,Payton Pritchard,1630202
676,4066367,Tyler Cook,1629076
677,4066372,Kevin Huerter,1628989
678,4066382,Cassius Winston,1630216
679,4066383,Miles Bridges,1628970
680,4066387,Amir Coffey,1629599
681,4066392,Isaiah Roby,1629676
682,4066399,Micah Potter,1630695
683,4066405,Lamar Stevens,1630205
684,4066407,Carsen Edwards,1629035
685,4066410,Eugene Omoruyi,1630647
686,4066421,Lonzo Ball,1628366
687,4066424,Ike Anigbogu,1628387
688,4066425,T.J. Leaf,1628388
689,4066436,De'Anthony Melton,1629001
690,4066446,Elijah Hughes,1630190
