hoopR_ID,athlete,nba_api_ID,pst_ID
4066405,Lamar Stevens,1630205,675
4066407,Carsen Edwards,1629035,671
4066410,Eugene Omoruyi,1630647,734
4066421,Lonzo Ball,1628366,449
4066424,Ike Anigbogu,1628387,371
4066425,T.J. Leaf,1628388,398
4066436,De'Anthony Melton,1629001,509
4066446,Elijah Hughes,1630190,693
4066450,Armoni Brooks,1629717,717
4066457,Austin Reaves,1630559,769
4066467,Malik Fitts,1630238,733
4066490,Kostas Antetokounmpo,1628961,550
4066508,Charlie Brown Jr.,1629718,-1
4066636,Markelle Fultz,1628365,490
4066648,Rui Hachimura,1629060,616
4066650,Zach Collins,1628380,366
4066651,Killian Tillie,1629681,661
4066668,Malachi Flynn,1630201,705
4066731,Jalen McDaniels,1629667,691
4066736,Jordan Ford,1630259,951
4066757,Sam Merrill,1630241,650
4066786,Jeff Dowtin Jr.,1630288,-1
4066790,Anthony Lamb,1630237,1042
4066808,Taze Moore,1631386,-1
4066851,Miye Oni,1629671,735
4066993,Dru Smith,1630696,938
4067017,A.J. Lawson,1630639,-1
4067045,Alize Johnson,1628993,504
4067069,Nate Darling,1630268,679
4067325,Nathan Knight,1630233,1039
4067469,Jemerrio Jones,1629203,-1
4067735,Carlik Jones,1630637,-1
4067858,Kevon Harris,1630284,870
4080610,Hamidou Diallo,1628977,528
4222252,Isaiah Hartenstein,1628392,535
4230546,Terrance Ferguson,1628390,484
4230547,Frank Ntilikina,1628373,384
4230548,Rodions Kurucs,1629066,515
4230550,Elie Okobo,1629059,631
4230551,Arnoldas Kulboka,1629083,-1
4230554,Marko Guduric,1629741,618
4237215,Vincent Poirier,1629738,604
4237239,William Howard,1629739,-1
4277811,Collin Sexton,1629012,665
4277812,Alex Reese,1642024,1030
4277813,Herbert Jones,1630529,749
4277842,Trevon Duval,1628979,1037
4277843,Gary Trent Jr.,1629018,516
4277847,Wendell Carter Jr.,1628976,624
4277848,Marvin Bagley III,1628963,534
4277850,RaiQuan Gray,1630564,-1
4277869,Jose Alvarado,1630631,783
4277871,Moses Wright,1630589,797
4277880,Malik Williams,1642013,-1
4277882,Brian Bowen II,1628968,662
4277883,Jordan Nwora,1629670,700
4277886,Freddie Gillespie,1630273,-1
4277887,Lindell Wigginton,1629623,820
4277890,Lonnie Walker IV,1629022,542
4277892,Marcus Garrett,1630585,760
4277905,Trae Young,1629027,568
4277919,Mo Bamba,1628964,548
4277922,Jericho Sims,1630579,776
4277923,Zhaire Smith,1629015,559
4277928,Jarrett Culver,1629633,594
4277951,Luka Garza,1630568,819
4277952,Bruno Fernando,1628981,617
4277956,Jordan Poole,1629673,598
4277957,Isaiah Livers,1630587,739
4277961,Jaren Jackson Jr.,1628991,553
4277964,Xavier Tillman,1630214,642
4278031,Oshae Brissett,1629052,629
4278045,Chaundee Brown Jr.,1630602,1043
4278046,Olivier Sarr,1630846,810
4278049,Daniel Gafford,1629655,592
4278052,Chuma Okeke,1629643,683
4278053,Davion Mitchell,1630558,790
4278067,Nic Claxton,1629651,567
4278073,Shai Gilgeous-Alexander,1628983,626
4278075,Kevin Knox II,1628995,518
4278076,Nick Richards,1630208,649
